=== RUN   TestMNISTBatched
    mnist_batched_test.go:28: Loaded 60000 training, 10000 test samples
    mnist_batched_test.go:98: Network: 1306 neurons, 123600 connections
    mnist_batched_test.go:99: Mini-batch: size=16, workers=12 (of 12 CPUs)
    mnist_batched_test.go:183: Epoch 1: acc=90.21% (best=90.21%), avgLoss=0.5665, lr=0.001000
    mnist_batched_test.go:183: Epoch 2: acc=88.80% (best=90.21%), avgLoss=0.3406, lr=0.001000
    mnist_batched_test.go:183: Epoch 3: acc=92.59% (best=92.59%), avgLoss=0.2987, lr=0.001000
    mnist_batched_test.go:183: Epoch 4: acc=92.33% (best=92.59%), avgLoss=0.2356, lr=0.001000
    mnist_batched_test.go:183: Epoch 5: acc=91.27% (best=92.59%), avgLoss=0.2107, lr=0.001000
    mnist_batched_test.go:183: Epoch 6: acc=91.60% (best=92.59%), avgLoss=0.1848, lr=0.001000
    mnist_batched_test.go:183: Epoch 7: acc=93.17% (best=93.17%), avgLoss=0.1745, lr=0.001000
    mnist_batched_test.go:183: Epoch 8: acc=93.89% (best=93.89%), avgLoss=0.1500, lr=0.001000
    mnist_batched_test.go:183: Epoch 9: acc=94.29% (best=94.29%), avgLoss=0.1400, lr=0.001000
    mnist_batched_test.go:183: Epoch 10: acc=92.93% (best=94.29%), avgLoss=0.1476, lr=0.001000
    mnist_batched_test.go:183: Epoch 11: acc=93.33% (best=94.29%), avgLoss=0.1426, lr=0.001000
    mnist_batched_test.go:183: Epoch 12: acc=93.81% (best=94.29%), avgLoss=0.1390, lr=0.001000
    mnist_batched_test.go:183: Epoch 13: acc=92.63% (best=94.29%), avgLoss=0.1239, lr=0.001000
    mnist_batched_test.go:183: Epoch 14: acc=93.95% (best=94.29%), avgLoss=0.1213, lr=0.001000
    mnist_batched_test.go:183: Epoch 15: acc=93.76% (best=94.29%), avgLoss=0.1206, lr=0.001000
    mnist_batched_test.go:183: Epoch 16: acc=95.22% (best=95.22%), avgLoss=0.0821, lr=0.000500
    mnist_batched_test.go:183: Epoch 17: acc=95.89% (best=95.89%), avgLoss=0.0601, lr=0.000500
    mnist_batched_test.go:183: Epoch 18: acc=95.65% (best=95.89%), avgLoss=0.0533, lr=0.000500
    mnist_batched_test.go:183: Epoch 19: acc=95.67% (best=95.89%), avgLoss=0.0486, lr=0.000500
    mnist_batched_test.go:183: Epoch 20: acc=95.92% (best=95.92%), avgLoss=0.0427, lr=0.000500
    mnist_batched_test.go:183: Epoch 21: acc=95.82% (best=95.92%), avgLoss=0.0388, lr=0.000500
    mnist_batched_test.go:183: Epoch 22: acc=95.77% (best=95.92%), avgLoss=0.0354, lr=0.000500
    mnist_batched_test.go:183: Epoch 23: acc=96.17% (best=96.17%), avgLoss=0.0320, lr=0.000500
    mnist_batched_test.go:183: Epoch 24: acc=96.08% (best=96.17%), avgLoss=0.0320, lr=0.000500
    mnist_batched_test.go:183: Epoch 25: acc=95.88% (best=96.17%), avgLoss=0.0309, lr=0.000500
    mnist_batched_test.go:183: Epoch 26: acc=96.08% (best=96.17%), avgLoss=0.0294, lr=0.000500
    mnist_batched_test.go:183: Epoch 27: acc=96.19% (best=96.19%), avgLoss=0.0274, lr=0.000500
    mnist_batched_test.go:183: Epoch 28: acc=96.08% (best=96.19%), avgLoss=0.0244, lr=0.000500
    mnist_batched_test.go:183: Epoch 29: acc=95.71% (best=96.19%), avgLoss=0.0217, lr=0.000500
    mnist_batched_test.go:183: Epoch 30: acc=96.15% (best=96.19%), avgLoss=0.0205, lr=0.000500
    mnist_batched_test.go:183: Epoch 31: acc=96.30% (best=96.30%), avgLoss=0.0147, lr=0.000250
    mnist_batched_test.go:183: Epoch 32: acc=96.31% (best=96.31%), avgLoss=0.0113, lr=0.000250
    mnist_batched_test.go:183: Epoch 33: acc=96.46% (best=96.46%), avgLoss=0.0096, lr=0.000250
    mnist_batched_test.go:183: Epoch 34: acc=96.35% (best=96.46%), avgLoss=0.0084, lr=0.000250
    mnist_batched_test.go:183: Epoch 35: acc=96.57% (best=96.57%), avgLoss=0.0071, lr=0.000250
    mnist_batched_test.go:183: Epoch 36: acc=96.48% (best=96.57%), avgLoss=0.0065, lr=0.000250
    mnist_batched_test.go:183: Epoch 37: acc=96.50% (best=96.57%), avgLoss=0.0053, lr=0.000250
    mnist_batched_test.go:183: Epoch 38: acc=96.36% (best=96.57%), avgLoss=0.0046, lr=0.000250
    mnist_batched_test.go:183: Epoch 39: acc=96.37% (best=96.57%), avgLoss=0.0047, lr=0.000250
    mnist_batched_test.go:183: Epoch 40: acc=96.55% (best=96.57%), avgLoss=0.0039, lr=0.000250
    mnist_batched_test.go:183: Epoch 41: acc=96.45% (best=96.57%), avgLoss=0.0036, lr=0.000250
    mnist_batched_test.go:183: Epoch 42: acc=96.61% (best=96.61%), avgLoss=0.0033, lr=0.000250
    mnist_batched_test.go:183: Epoch 43: acc=96.49% (best=96.61%), avgLoss=0.0028, lr=0.000250
    mnist_batched_test.go:183: Epoch 44: acc=96.57% (best=96.61%), avgLoss=0.0027, lr=0.000250
    mnist_batched_test.go:183: Epoch 45: acc=96.53% (best=96.61%), avgLoss=0.0020, lr=0.000250
    mnist_batched_test.go:183: Epoch 46: acc=96.48% (best=96.61%), avgLoss=0.0012, lr=0.000125
    mnist_batched_test.go:183: Epoch 47: acc=96.53% (best=96.61%), avgLoss=0.0009, lr=0.000125
    mnist_batched_test.go:183: Epoch 48: acc=96.51% (best=96.61%), avgLoss=0.0008, lr=0.000125
    mnist_batched_test.go:183: Epoch 49: acc=96.46% (best=96.61%), avgLoss=0.0008, lr=0.000125
