=== RUN   TestMNISTInt32Verification
    mnist_int32_verify_test.go:26: Loaded 60000 training, 10000 test samples
    mnist_int32_verify_test.go:89: Network: 1306 neurons, 123600 connections
    mnist_int32_verify_test.go:155: Epoch 1: acc=91.48% (best=91.48%), avgLoss=0.7377, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 2: acc=90.80% (best=91.48%), avgLoss=0.4760, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 3: acc=93.05% (best=93.05%), avgLoss=0.3729, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 4: acc=94.89% (best=94.89%), avgLoss=0.3406, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 5: acc=94.90% (best=94.90%), avgLoss=0.2722, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 6: acc=95.00% (best=95.00%), avgLoss=0.2376, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 7: acc=95.70% (best=95.70%), avgLoss=0.2126, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 8: acc=95.31% (best=95.70%), avgLoss=0.1905, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 9: acc=96.09% (best=96.09%), avgLoss=0.1612, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 10: acc=96.12% (best=96.12%), avgLoss=0.1496, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 11: acc=96.26% (best=96.26%), avgLoss=0.1432, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 12: acc=96.39% (best=96.39%), avgLoss=0.1171, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 13: acc=96.44% (best=96.44%), avgLoss=0.1156, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 14: acc=96.48% (best=96.48%), avgLoss=0.0992, lr=0.001000
    mnist_int32_verify_test.go:155: Epoch 15: acc=96.19% (best=96.48%), avgLoss=0.0881, lr=0.001000
